Combination,Number
Comedy:Drama,226
Drama:Romance,204
Comedy:Romance,204
Action:Thriller,133
Action:Adventure,128
Drama:Thriller,110
Action:Sci-Fi,107
Action:Drama,100
Children's:Comedy,93
Crime:Drama,90
Animation:Children's,84
Adventure:Children's,81
Drama:War,76
Sci-Fi:Thriller,70
Adventure:Sci-Fi,67
Action:Comedy,65
Horror:Thriller,59
Crime:Thriller,58
Horror:Sci-Fi,58
Action:Crime,55
Mystery:Thriller,49
Action:War,46
Adventure:Comedy,44
Comedy:Musical,41
Comedy:Horror,41
Children's:Fantasy,38
Children's:Musical,37
Comedy:Crime,36
Adventure:Fantasy,35
Action:Romance,35
Romance:Thriller,33
Adventure:Drama,33
Drama:Mystery,32
Animation:Musical,32
Adventure:Thriller,31
Comedy:Thriller,31
Comedy:Sci-Fi,31
Children's:Drama,27
Adventure:Romance,27
Animation:Comedy,25
Action:Horror,25
Drama:Sci-Fi,23
Film-Noir:Thriller,20
Romance:War,20
Comedy:Fantasy,19
Comedy:War,18
Musical:Romance,18
Comedy:Western,17
Action:Fantasy,15
Drama:Musical,15
Crime:Film-Noir,15
Children's:Sci-Fi,14
Adventure:Animation,14
Comedy:Mystery,13
Drama:Western,13
Action:Children's,13
Fantasy:Sci-Fi,13
Crime:Mystery,13
Adventure:War,12
Drama:Horror,12
Action:Mystery,12
Mystery:Romance,12
Sci-Fi:War,11
Action:Western,10
Adventure:Crime,9
Crime:Romance,9
Drama:Fantasy,9
Adventure:Musical,9
Adventure:Horror,8
Animation:Sci-Fi,8
Thriller:War,8
Film-Noir:Mystery,8
Romance:Sci-Fi,7
Fantasy:Romance,7
Children's:Romance,7
Crime:Sci-Fi,6
Crime:Horror,6
Drama:Film-Noir,6
Horror:Mystery,6
Animation:Fantasy,6
Mystery:Sci-Fi,6
Action:Animation,4
Animation:Romance,4
Animation:Thriller,4
Documentary:Drama,4
Comedy:Documentary,4
Adventure:Western,4
Romance:Western,3
Sci-Fi:Western,3
Musical:War,3
Horror:Romance,3
Action:Musical,3
Adventure:Mystery,3
Musical:Sci-Fi,2
Animation:War,2
Fantasy:Musical,2
Children's:War,2
Film-Noir:Sci-Fi,2
Horror:Musical,2
Children's:Mystery,2
Children's:Western,2
Documentary:Musical,2
Animation:Mystery,1
Animation:Horror,1
Fantasy:Thriller,1
Children's:Horror,1
Animation:Film-Noir,1
Animation:Drama,1
Film-Noir:Romance,1
Adventure:Film-Noir,1
Thriller:Western,1
Film-Noir:Horror,1
Fantasy:War,1
Children's:Thriller,1
War:Western,1
Crime:Fantasy,1
Comedy:Film-Noir,1
Documentary:War,1
Action:Documentary,0
Musical:Western,0
Crime:Western,0
Documentary:Fantasy,0
Documentary:Film-Noir,0
Mystery:War,0
Mystery:Western,0
Documentary:Horror,0
Documentary:Western,0
Musical:Thriller,0
Animation:Documentary,0
Animation:Crime,0
Documentary:Thriller,0
Adventure:Documentary,0
Action:Film-Noir,0
Documentary:Sci-Fi,0
Animation:Western,0
Crime:War,0
Fantasy:Western,0
Film-Noir:Western,0
Fantasy:Mystery,0
Film-Noir:Musical,0
Fantasy:Horror,0
Fantasy:Film-Noir,0
Documentary:Romance,0
Film-Noir:War,0
Crime:Documentary,0
Children's:Crime,0
Crime:Musical,0
Children's:Film-Noir,0
Children's:Documentary,0
Horror:War,0
Horror:Western,0
Musical:Mystery,0
Documentary:Mystery,0
